Id,Target,CellLine
19477_183_F8_2,7 25,U-251 MG
19477_185_F8_1,7 25,U-2 OS
19477_185_F8_2,7 25,U-2 OS
19477_242_F8_3,7 25,A-431
19477_242_F8_4,7 25,A-431
19545_183_F6_1,23,U-251 MG
19545_183_F6_2,23,U-251 MG
19545_185_F6_1,23,U-2 OS
19545_185_F6_2,23,U-2 OS
19545_242_F6_1,23,A-431
19545_242_F6_2,23,A-431
19585_152_H8_1,7,U-251 MG
19585_152_H8_2,7,U-251 MG
19585_198_H8_1,7,A-431
19585_198_H8_2,7,A-431
19763_234_C2_1,14,A-431
19763_234_C2_2,14,A-431
19763_235_C2_1,14,U-2 OS
19763_235_C2_2,14,U-2 OS
19763_535_C2_1,14,U-251 MG
19763_535_C2_2,14,U-251 MG
20280_1126_B6_1,25 21,A549
20280_1126_B6_3,25 21,A549
20280_1293_C3_1,25 21,Hep G2
20280_1293_C3_4,25 21,Hep G2
20280_182_C1_1,25 21,U-2 OS
20280_182_C1_2,25 21,U-2 OS
22853_215_E6_1,23,U-251 MG
22853_215_E6_2,23,U-251 MG
22853_216_E6_1,23,A-431
22853_216_E6_2,23,A-431
22853_217_E6_1,23,U-2 OS
22853_217_E6_2,23,U-2 OS
22869_236_F8_1,1 25,U-251 MG
22869_236_F8_2,1 25,U-251 MG
22869_237_F8_1,1 25,A-431
22869_237_F8_2,1 25,A-431
22869_268_F8_1,1 25,U-2 OS
22869_268_F8_2,1 25,U-2 OS
22961_192_C3_1,0 25,U-251 MG
22961_192_C3_2,0 25,U-251 MG
22961_193_C3_1,0 25,A-431
22961_193_C3_2,0 25,A-431
22961_194_C3_1,0 25,U-2 OS
22961_194_C3_2,0 25,U-2 OS
23043_192_C4_1,23,U-251 MG
23043_192_C4_2,23,U-251 MG
23043_193_C4_1,23,A-431
23043_193_C4_2,23,A-431
23043_194_C4_1,23,U-2 OS
23043_194_C4_2,23,U-2 OS
23048_263_B4_1,23 0,A-431
23048_263_B4_2,23 0,A-431
23048_264_B4_1,23 0,U-2 OS
23048_264_B4_2,23 0,U-2 OS
23048_277_B4_1,23 0,U-251 MG
23048_277_B4_2,23 0,U-251 MG
23623_192_D12_1,25 21,U-251 MG
23623_192_D12_2,25 21,U-251 MG
23623_193_D12_1,25 21,A-431
23623_193_D12_2,25 21,A-431
23623_194_D12_1,25 21,U-2 OS
23623_194_D12_2,25 21,U-2 OS
23708_236_D12_1,0 25,U-251 MG
23708_236_D12_2,0 25,U-251 MG
23708_237_D12_1,0 25,A-431
23708_237_D12_2,0 25,A-431
23708_268_D12_1,0 25,U-2 OS
23708_268_D12_2,0 25,U-2 OS
23972_278_E7_1,1,U-251 MG
23972_278_E7_2,1,U-251 MG
23972_279_E7_1,1,A-431
23972_279_E7_2,1,A-431
23972_280_E7_1,1,U-2 OS
23972_280_E7_2,1,U-2 OS
24457_195_E7_1,0 25,U-251 MG
24457_195_E7_2,0 25,U-251 MG
24457_196_E7_1,0 25,A-431
24457_196_E7_2,0 25,A-431
24457_197_E7_1,0 25,U-2 OS
24457_197_E7_2,0 25,U-2 OS
24573_239_C7_1,2 25,U-251 MG
24573_239_C7_2,2 25,U-251 MG
24573_240_C7_1,2 25,A-431
24573_240_C7_2,2 25,A-431
24573_241_C7_1,2 25,U-2 OS
24573_241_C7_2,2 25,U-2 OS
2561_56_B11_1,25,U-2 OS
2561_56_B11_2,25,U-2 OS
2561_57_B11_1,25,A-431
2561_57_B11_4,25,A-431
2561_58_B11_1,25,U-251 MG
2561_58_B11_2,25,U-251 MG
261_56_H9_1,12 25,U-2 OS
261_56_H9_2,12 25,U-2 OS
261_57_H9_1,12 25,A-431
261_57_H9_2,12 25,A-431
27021_1746_D1_2,0 7 25,PC-3
27021_1746_D1_3,0 7 25,PC-3
27021_249_B11_1,0 7 25,U-251 MG
27021_249_B11_2,0 7 25,U-251 MG
27021_251_B11_1,0 7 25,U-2 OS
27021_251_B11_2,0 7 25,U-2 OS
27218_230_H4_1,0 25,U-251 MG
27218_230_H4_2,0 25,U-251 MG
27218_231_H4_1,0 25,A-431
27218_231_H4_2,0 25,A-431
27218_232_H4_1,0 25,U-2 OS
27218_232_H4_2,0 25,U-2 OS
28086_1695_H1_18_cr57d81acbe63b0,25,U-2 OS
28086_1695_H1_8_cr58008561c9706,25,U-2 OS
28086_1702_E9_31,25,A549
28086_1702_E9_32,25,A549
28490_505_H2_1,18 0 4,U-2 OS
28490_505_H2_2,18 0 4,U-2 OS
28490_508_H2_1,18 0 4,U-251 MG
28490_508_H2_2,18 0 4,U-251 MG
28490_548_H2_1,18 0 4,A-431
28490_548_H2_2,18 0 4,A-431
28660_1386_A3_1,22,RT4
28660_1386_A3_2,22,RT4
29179_1168_B11_3,26 21,SiHa
29179_1168_B11_4,26 21,SiHa
29179_1257_B11_2,26 21,U-2 OS
29179_1257_B11_6,26 21,U-2 OS
29179_1766_H10_1,26 21,RT4
29179_1766_H10_2,26 21,RT4
2954_17_H3_1,5 0 25,U-2 OS
2954_17_H3_2,5 0 25,U-2 OS
2954_18_H3_1,5 0 25,U-251 MG
2954_18_H3_2,5 0 25,U-251 MG
29803_332_H10_3,13 21,U-2 OS
29803_332_H10_5,13 21,U-2 OS
29803_334_H10_7,13 21,A-431
29803_334_H10_9,13 21,A-431
30449_298_G3_1,2 25 6,U-251 MG
30449_298_G3_2,2 25 6,U-251 MG
30449_299_G3_3,2 25 6,A-431
30449_299_G3_4,2 25 6,A-431
30449_300_G3_8,2 25 6,U-2 OS
30449_300_G3_9,2 25 6,U-2 OS
30471_1445_C9_1,5 2 25,U-2 OS
30471_1445_C9_2,5 2 25,U-2 OS
30471_1450_C9_3,5 2 25,PC-3
30471_1450_C9_4,5 2 25,PC-3
30471_1564_A5_1,5 2 25,HEK 293
30471_1564_A5_2,5 2 25,HEK 293
30472_364_A5_1,5 2 25,U-251 MG
30472_364_A5_2,5 2 25,U-251 MG
30472_365_A5_2,5 2 25,U-2 OS
30472_365_A5_3,5 2 25,U-2 OS
30472_369_A5_2,5 2 25,A-431
30472_369_A5_3,5 2 25,A-431
3064_1198_C4_1,0,PC-3
3064_1198_C4_2,0,PC-3
3064_1201_C4_1,0,U-2 OS
3064_1201_C4_2,0,U-2 OS
3064_1226_F10_1,0,MCF7
3064_1226_F10_2,0,MCF7
30902_381_C5_1,4,U-2 OS
30902_381_C5_2,4,U-2 OS
30902_389_C5_1,4,A-431
30902_389_C5_2,4,A-431
30902_398_C5_1,4,U-251 MG
30902_398_C5_2,4,U-251 MG
30903_599_B12_1,4,U-251 MG
30903_599_B12_2,4,U-251 MG
30903_601_B12_1,4,A-431
30903_601_B12_4,4,A-431
30903_603_B12_1,4,U-2 OS
30903_603_B12_2,4,U-2 OS
31124_1240_A7_3,22 3,CACO-2
31124_1240_A7_4,22 3,CACO-2
31124_331_G5_1,22 3,U-2 OS
31124_331_G5_3,22 3,U-2 OS
31124_333_G5_1,22 3,A-431
31124_333_G5_2,22 3,A-431
31240_1645_E5_33,18 17,HeLa
31240_1645_E5_34,18 17,HeLa
31240_1660_E6_1,18 17,HaCaT
31240_1660_E6_2,18 17,HaCaT
3152_59_E10_1,3,U-2 OS
3152_59_E10_2,3,U-2 OS
3152_60_E10_1,3,A-431
3152_60_E10_2,3,A-431
3152_61_E10_1,3,U-251 MG
3152_61_E10_2,3,U-251 MG
3203_1124_H9_2,19 25,HEK 293
3203_1124_H9_3,19 25,HEK 293
3203_59_H10_1,25 19,U-2 OS
3203_59_H10_2,25 19,U-2 OS
3203_61_H10_1,19 25,U-251 MG
3203_61_H10_2,25 19,U-251 MG
3243_32_D5_1,5 22 25 21,U-2 OS
3243_32_D5_2,5 22 25 21,U-2 OS
3243_33_D5_1,5 22 25 21,A-431
3243_33_D5_2,5 22 25 21,A-431
3243_34_D5_1,5 22 25 21,U-251 MG
3243_34_D5_2,5 22 25 21,U-251 MG
3311_1150_D4_2,19,RH-30
3311_1150_D4_3,19,RH-30
3311_1596_G10_1,19,RT4
3311_1596_G10_2,19,RT4
3311_59_F11_1,19,U-2 OS
3311_59_F11_2,19,U-2 OS
3384_32_B2_1,25,U-2 OS
3384_32_B2_2,25,U-2 OS
3384_33_B2_1,25,A-431
3384_33_B2_2,25,A-431
3384_34_B2_1,25,U-251 MG
3384_34_B2_2,25,U-251 MG
3424_1445_A10_1,23 25,U-2 OS
3424_1445_A10_5,23 25,U-2 OS
3424_1450_A10_1,23 25,PC-3
3424_1450_A10_2,23 25,PC-3
3424_1476_G10_2,23 25,A549
3424_1476_G10_5,23 25,A549
34583_712_C3_1,0,U-2 OS
34583_712_C3_2,0,U-2 OS
34583_804_C3_1,0,HEK 293
34583_804_C3_2,0,HEK 293
34583_964_C3_1,0,MCF7
34583_964_C3_2,0,MCF7
34745_380_G8_1,16 0,A-431
34745_380_G8_2,0 16,A-431
34745_382_G8_1,16 0,U-2 OS
34745_382_G8_2,0 16,U-2 OS
34745_397_G8_2,0 16,U-251 MG
34745_397_G8_3,0 16,U-251 MG
34746_380_G11_1,16 0,A-431
34746_380_G11_2,16 0,A-431
34746_382_G11_1,0 16,U-2 OS
34746_382_G11_2,16 0,U-2 OS
34746_397_G11_1,16 0,U-251 MG
34746_397_G11_2,16 0,U-251 MG
35311_376_G11_2,0,U-2 OS
35311_376_G11_3,0,U-2 OS
35311_378_G11_1,0,A-431
35311_378_G11_2,0,A-431
35311_383_G11_4,0,U-251 MG
35311_383_G11_5,0,U-251 MG
36422_434_H4_1,4,A-431
36422_434_H4_2,4,A-431
36422_450_H4_1,4,U-251 MG
36422_450_H4_3,4,U-251 MG
36422_453_H4_3,4,U-2 OS
36422_453_H4_4,4,U-2 OS
3734_56_A8_1,7,U-2 OS
3734_56_A8_2,7,U-2 OS
3734_57_A8_1,7,A-431
3734_57_A8_2,7,A-431
3734_58_A8_1,7,U-251 MG
3734_58_A8_2,7,U-251 MG
37737_1000_C8_1,0 25,U-251 MG
37737_1000_C8_2,0 25,U-251 MG
37737_1003_C8_1,0 25,U-2 OS
37737_1003_C8_2,0 25,U-2 OS
37737_1145_C9_1,0 25,Hep G2
37737_1145_C9_2,0 25,Hep G2
37827_422_A11_1,23,U-2 OS
37827_422_A11_2,23,U-2 OS
37827_423_A11_1,23,A-431
37827_423_A11_2,23,A-431
37827_426_A11_1,23,U-251 MG
37827_426_A11_2,23,U-251 MG
37983_754_D10_5,25 19,U-251 MG
37983_754_D10_6,25 19,U-251 MG
37983_758_D10_1,25 19,U-2 OS
37983_758_D10_2,25 19,U-2 OS
37983_813_D10_2,25 19,A-431
37983_813_D10_3,25 19,A-431
38575_1253_B10_1,6,CACO-2
38575_1253_B10_3,6,CACO-2
38575_431_B8_1,6,U-251 MG
38575_431_B8_2,6,U-251 MG
38575_443_B8_1,6,U-2 OS
38575_443_B8_2,6,U-2 OS
38713_1142_C1_8,0 21,Hep G2
38713_1142_C1_9,0 21,Hep G2
38713_1253_A10_2,0 21,CACO-2
38713_1253_A10_3,0 21,CACO-2
38713_443_F7_5,0 21,U-2 OS
38713_443_F7_6,0 21,U-2 OS
3875_1566_D11_1,0 25 21,A549
3875_1566_D11_2,0 25 21,A549
3875_1568_D11_1,0 25 21,U-2 OS
3875_1568_D11_2,0 25 21,U-2 OS
3875_1579_E5_1,0 25 21,PC-3
3875_1579_E5_2,0 25 21,PC-3
38764_1046_F10_3,21,HeLa
38764_1046_F10_4,21,HeLa
38764_1179_F12_1,21,SiHa
38764_1179_F12_3,21,SiHa
38764_537_H2_1,21,U-2 OS
38764_537_H2_2,21,U-2 OS
3881_32_G11_1,0,U-2 OS
3881_32_G11_2,0,U-2 OS
3881_34_G11_1,0,U-251 MG
3881_34_G11_2,0,U-251 MG
38873_517_G12_1,23,U-2 OS
38873_517_G12_2,23,U-2 OS
38873_520_G12_1,23,U-251 MG
38873_520_G12_3,23,U-251 MG
38873_523_G12_2,23,A-431
38873_523_G12_3,23,A-431
38925_537_C10_2,25,U-2 OS
38925_537_C10_3,25,U-2 OS
38925_540_C10_1,25,A-431
38925_540_C10_2,25,A-431
38934_563_D7_1,25,A-431
38934_563_D7_2,25,A-431
38934_566_D7_1,25,U-2 OS
38934_566_D7_2,25,U-2 OS
38934_569_D7_1,25,U-251 MG
38934_569_D7_4,25,U-251 MG
3920_71_C2_1,25 21,U-251 MG
3920_71_C2_2,25 21,U-251 MG
3920_72_C2_1,25 21,A-431
3920_72_C2_2,25 21,A-431
3920_73_C2_1,25 21,U-2 OS
3920_73_C2_2,25 21,U-2 OS
39247_563_B12_1,14,A-431
39247_563_B12_2,14,A-431
39247_566_B12_1,14,U-2 OS
39247_566_B12_2,14,U-2 OS
39247_569_B12_1,14,U-251 MG
39247_569_B12_2,14,U-251 MG
39501_468_F6_2,7 25,U-251 MG
39501_468_F6_3,7 25,U-251 MG
39501_470_F6_1,7 25,U-2 OS
39501_470_F6_2,7 25,U-2 OS
39501_473_F6_3,7 25,A-431
39501_473_F6_4,7 25,A-431
39954_824_E3_3,5 0 25,MCF7
39954_824_E3_5,5 0 25,MCF7
39954_884_E3_2,5 0 25,U-2 OS
39954_884_E3_4,5 0 25,U-2 OS
39954_978_E3_1,5 0 25,PC-3
39954_978_E3_2,5 0 25,PC-3
40736_754_F7_4,7 21,U-251 MG
40736_754_F7_5,7 21,U-251 MG
40736_758_F7_1,7 21,U-2 OS
40736_758_F7_2,7 21,U-2 OS
40736_813_F7_1,7 21,A-431
40736_813_F7_4,7 21,A-431
4099_74_A4_1,25,U-251 MG
4099_74_A4_2,25,U-251 MG
4099_75_A4_1,25,A-431
4099_75_A4_2,25,A-431
4099_76_A4_1,25,U-2 OS
4099_76_A4_2,25,U-2 OS
42122_537_F5_1,25,U-2 OS
42122_537_F5_2,25,U-2 OS
42122_540_F5_1,25,A-431
42122_540_F5_9,25,A-431
42122_553_F5_1,25,U-251 MG
42122_553_F5_2,25,U-251 MG
42123_754_E8_4,5 0,U-251 MG
42123_754_E8_5,5 0,U-251 MG
42123_758_E8_3,5 0,U-2 OS
42123_758_E8_4,5 0,U-2 OS
42123_813_E8_2,5 0,A-431
42123_813_E8_4,5 0,A-431
42125_751_G11_1,0,U-251 MG
42125_751_G11_2,0,U-251 MG
42125_805_D1_1,0,HEK 293
42125_805_D1_2,0,HEK 293
42141_1128_E7_4,2 19,A549
42141_1128_E7_5,2 19,A549
42141_758_G7_1,2 19,U-2 OS
42141_758_G7_2,2 19,U-2 OS
42141_813_G7_2,2 19,A-431
42141_813_G7_3,2 19,A-431
42528_807_F5_1,0,CACO-2
42528_807_F5_2,0,CACO-2
42528_979_H9_1,0,PC-3
42528_979_H9_2,0,PC-3
42642_640_B12_1,19,A-431
42642_640_B12_2,19,A-431
42642_641_B12_1,19,U-251 MG
42642_641_B12_4,19,U-251 MG
42642_642_B12_1,19,U-2 OS
42642_642_B12_2,19,U-2 OS
42689_468_F7_1,25,U-251 MG
42689_468_F7_2,25,U-251 MG
42689_470_F7_1,25,U-2 OS
42689_470_F7_3,25,U-2 OS
42689_473_F7_2,25,A-431
42689_473_F7_4,25,A-431
42715_767_H10_1,23 25,MCF7
42715_767_H10_2,23 25,MCF7
42715_779_H10_1,23 25,U-2 OS
42715_779_H10_2,23 25,U-2 OS
42715_820_F8_1,23 25,U-251 MG
42715_820_F8_2,23 25,U-251 MG
42720_1704_C11_18_cr57d8265f33e20,6,MCF7
42720_1704_C11_22_cr57d82666cb4a8,6,MCF7
42720_1762_E1_3,6,Hep G2
42720_1762_E1_4,6,Hep G2
42720_491_G8_1,6,U-2 OS
42720_491_G8_2,6,U-2 OS
42759_575_B4_1,21,U-2 OS
42759_575_B4_2,21,U-2 OS
43069_599_E9_1,23,U-251 MG
43069_599_E9_2,23,U-251 MG
43069_601_E9_1,23,A-431
43069_601_E9_3,23,A-431
43069_603_E9_1,23,U-2 OS
43069_603_E9_2,23,U-2 OS
43131_469_D8_1,25,U-251 MG
43131_469_D8_2,25,U-251 MG
43131_472_D8_1,25,A-431
43131_472_D8_2,25,A-431
43131_476_D8_1,25,U-2 OS
43131_476_D8_2,25,U-2 OS
43232_859_A4_1,7 25 21,U-2 OS
43232_859_A4_2,7 25 21,U-2 OS
43232_862_A4_1,7 25 21,A-431
43232_862_A4_2,7 25 21,A-431
43271_728_A6_1,25 21,U-2 OS
43271_728_A6_2,25 21,U-2 OS
43271_748_A6_1,25 21,A-431
43271_748_A6_2,25 21,A-431
43271_896_A6_1,25 21,PC-3
43271_896_A6_2,25 21,PC-3
4334_1081_B2_1,22 25,MCF7
4334_1081_B2_2,22 25,MCF7
4334_62_E12_1,22 25,U-2 OS
4334_62_E12_2,22 25,U-2 OS
4334_63_E12_1,22 25,A-431
4334_63_E12_2,22 25,A-431
43684_822_B12_1,14,U-251 MG
43684_822_B12_2,14,U-251 MG
43684_831_G9_1,14,U-2 OS
43684_831_G9_2,14,U-2 OS
43684_882_G9_1,14,PC-3
43684_882_G9_4,14,PC-3
43705_550_F11_1,23,U-2 OS
43705_550_F11_4,23,U-2 OS
43705_567_F11_1,23,U-251 MG
43705_567_F11_2,23,U-251 MG
43724_504_E8_2,25 6,U-2 OS
43724_504_E8_3,25 6,U-2 OS
43724_506_E8_1,25 6,U-251 MG
43724_506_E8_2,25 6,U-251 MG
43724_555_E8_1,25 6,A-431
43724_555_E8_2,25 6,A-431
43729_1026_D8_1,0 25,CACO-2
43729_1026_D8_2,0 25,CACO-2
43729_954_B12_1,0 25,U-2 OS
43729_954_B12_2,0 25,U-2 OS
43729_956_B12_3,0 25,A-431
43729_956_B12_5,0 25,A-431
43789_550_E12_1,0,U-2 OS
43789_550_E12_2,0,U-2 OS
43789_559_E12_1,0,A-431
43789_559_E12_2,0,A-431
43789_567_E12_1,0,U-251 MG
43789_567_E12_2,0,U-251 MG
44629_824_C1_2,23,MCF7
44629_824_C1_3,23,MCF7
44629_884_C1_1,23,U-2 OS
44629_884_C1_3,23,U-2 OS
44629_978_C1_1,23,PC-3
44629_978_C1_2,23,PC-3
44735_1354_A6_1,2,U-2 OS
44735_1354_A6_4,2,U-2 OS
44833_522_F11_1,0,U-251 MG
44833_522_F11_2,0,U-251 MG
44833_527_F11_3,0,A-431
44833_527_F11_4,0,A-431
44833_529_F11_1,0,U-2 OS
44833_529_F11_2,0,U-2 OS
44839_579_D7_1,23,U-251 MG
44839_579_D7_2,23,U-251 MG
44839_581_D7_1,23,U-2 OS
44839_581_D7_2,23,U-2 OS
44839_591_D7_1,23,A-431
44839_591_D7_2,23,A-431
45034_1203_A5_1,2 25,PC-3
45034_1203_A5_3,2 25,PC-3
45034_861_E5_1,2 25,U-2 OS
45034_861_E5_2,2 25,U-2 OS
45034_880_E5_1,2 25,U-251 MG
45034_880_E5_3,2 25,U-251 MG
45042_1413_A5_1,21,RH-30
45042_1413_A5_3,21,RH-30
45244_1635_C3_31,3,CACO-2
45244_1635_C3_32,3,CACO-2
45244_1658_H1_1,3,BJ
45244_1658_H1_3,3,BJ
45244_738_E8_1,3,U-2 OS
45244_738_E8_2,3,U-2 OS
45246_1391_B9_1,0,RT4
45246_1391_B9_2,0,RT4
45246_808_A11_3,0,U-2 OS
45246_808_A11_5,0,U-2 OS
45246_855_A11_1,0,A-431
45246_855_A11_2,0,A-431
452_1715_H1_31,11,HaCaT
452_1715_H1_32,11,HaCaT
452_1790_A8_1,11,hTCEpi
452_1790_A8_5,11,hTCEpi
45307_526_G11_1,6,A-431
45307_526_G11_2,6,A-431
45307_528_G11_1,6,U-2 OS
45307_528_G11_2,6,U-2 OS
45307_545_G11_1,6,U-251 MG
45307_545_G11_2,6,U-251 MG
45423_579_D9_1,25,U-251 MG
45423_579_D9_2,25,U-251 MG
45423_581_D9_2,25,U-2 OS
45423_581_D9_3,25,U-2 OS
45423_591_D9_1,25,A-431
45423_591_D9_2,25,A-431
45652_1452_B3_1,3,U-2 OS
45652_1452_B3_2,3,U-2 OS
45652_1517_B3_1,3,SK-MEL-30
45652_1517_B3_2,3,SK-MEL-30
45652_1564_E8_1,3,HEK 293
45652_1564_E8_2,3,HEK 293
45683_1397_A4_1,2,U-2 OS
45683_1397_A4_3,2,U-2 OS
45683_1402_A4_10,2,RH-30
45683_1402_A4_11,2,RH-30
45683_1440_H11_2,2,PC-3
45683_1440_H11_5,2,PC-3
45697_1168_D8_2,11,SiHa
45697_1168_D8_3,11,SiHa
45697_1257_D8_4,11,U-2 OS
45697_1257_D8_5,11,U-2 OS
45697_1715_H5_3_cr57fd30536afd1,11,HaCaT
45697_1715_H5_7_cr57fd305ca4e80,11,HaCaT
46346_740_G11_4,2 25,U-2 OS
46346_740_G11_6,2 25,U-2 OS
46346_784_G11_1,2 25,HeLa
46346_784_G11_2,2 25,HeLa
46346_876_E3_1,2 25,A-431
46346_876_E3_2,2 25,A-431
46368_716_G6_1,25 19,HEK 293
46368_716_G6_2,25 19,HEK 293
46368_719_G6_1,25 19,U-2 OS
46368_719_G6_3,25 19,U-2 OS
46368_764_G6_1,25 19,A-431
46368_764_G6_2,25 19,A-431
46385_1334_C4_1,25 6,Hep G2
46385_1334_C4_2,25 6,Hep G2
46385_765_C4_1,25 6,HEK 293
46385_765_C4_2,25 6,HEK 293
46385_771_C4_1,25 6,U-2 OS
46385_771_C4_2,25 6,U-2 OS
46388_738_E12_1,23,U-2 OS
46388_738_E12_3,23,U-2 OS
46388_750_E12_1,23,MCF7
46388_750_E12_2,23,MCF7
46388_871_C6_1,23,HeLa
46388_871_C6_2,23,HeLa
46423_918_G10_1,0,A-431
46423_918_G10_2,0,A-431
46423_981_B5_2,0,U-2 OS
46423_981_B5_4,0,U-2 OS
46423_984_B5_1,0,A549
46423_984_B5_2,0,A549
46590_738_H9_1,0 21,U-2 OS
46590_738_H9_2,0 21,U-2 OS
46590_750_H9_1,0 21,MCF7
46590_750_H9_2,0 21,MCF7
46590_871_B6_3,0 21,HeLa
46590_871_B6_5,0 21,HeLa
46695_740_A12_5,2 25,U-2 OS
46695_740_A12_7,2 25,U-2 OS
46695_784_A12_1,2 25,HeLa
46695_784_A12_2,2 25,HeLa
46695_837_H4_11,2 25,A-431
46695_837_H4_6,2 25,A-431
46835_824_H5_1,23,MCF7
46835_824_H5_2,23,MCF7
46835_884_H5_1,23,U-2 OS
46835_884_H5_2,23,U-2 OS
46835_978_H5_1,23,PC-3
46835_978_H5_2,23,PC-3
46872_573_E10_3,2,U-2 OS
46872_573_E10_4,2,U-2 OS
46872_589_E10_1,2,A-431
46872_589_E10_2,2,A-431
46872_709_E10_1,2,U-251 MG
46872_709_E10_2,2,U-251 MG
46876_573_C10_3,25,U-2 OS
46876_573_C10_4,25,U-2 OS
46876_589_C10_1,25,A-431
46876_589_C10_2,25,A-431
46876_709_C10_2,25,U-251 MG
46876_709_C10_3,25,U-251 MG
46943_1137_A4_1,23,MCF7
46943_1137_A4_2,23,MCF7
46943_573_G2_3,23,U-2 OS
46943_573_G2_4,23,U-2 OS
46970_589_A5_1,0,A-431
46970_589_A5_2,0,A-431
46987_1354_A1_2,2,U-2 OS
46987_1354_A1_5,2,U-2 OS
47001_735_B4_1,4,U-2 OS
47001_735_B4_2,4,U-2 OS
47001_742_H8_2,4,U-251 MG
47001_742_H8_3,4,U-251 MG
47001_749_B4_1,4,MCF7
47001_749_B4_2,4,MCF7
47027_1472_C8_2,25,HEK 293
47027_1472_C8_5,25,HEK 293
47027_573_B7_3,25,U-2 OS
47027_573_B7_4,25,U-2 OS
47027_709_B7_2,25,U-251 MG
47027_709_B7_3,25,U-251 MG
47038_739_B7_1,0,U-2 OS
47038_739_B7_2,0,U-2 OS
47038_753_B7_1,0,Hep G2
47038_753_B7_2,0,Hep G2
47038_864_E6_1,0,A549
47038_864_E6_2,0,A549
47097_1334_F3_1,25,Hep G2
47097_1334_F3_2,25,Hep G2
47097_735_G3_1,25,U-2 OS
47097_735_G3_2,25,U-2 OS
47097_749_G3_1,25,MCF7
47097_749_G3_2,25,MCF7
47157_776_D7_1,25 21,U-2 OS
47157_776_D7_2,25 21,U-2 OS
47157_789_D7_1,25 21,U-251 MG
47157_789_D7_2,25 21,U-251 MG
47217_711_D7_1,2 25,U-2 OS
